Frame,Frame Duration in Nanoseconds,,,,16045187.87,771064.592
1046,16160200,,,,,
1047,16915300,,,,,
1048,16362200,,,,,
1049,18064100,,,,,
1050,15686800,,,,,
1051,15897800,,,,,
1052,15265900,,,,,
1053,15866600,,,,,
1054,16449300,,,,,
1055,15872300,,,,,
1056,15759700,,,,,
1057,16435300,,,,,
1058,15291700,,,,,
1059,15735500,,,,,
1060,14797300,,,,,
1061,15646100,,,,,
1062,16239900,,,,,
1063,16839700,,,,,
1064,16295800,,,,,
1065,16975000,,,,,
1066,16355100,,,,,
1067,18113200,,,,,
1068,17185000,,,,,
1069,15012600,,,,,
1070,14740100,,,,,
1071,15594400,,,,,
1072,15363100,,,,,
1073,16017400,,,,,
1074,16157300,,,,,
1075,16701800,,,,,
1076,17324400,,,,,
1077,16179200,,,,,
1078,14873400,,,,,
1079,15685600,,,,,
1080,14807300,,,,,
1081,17421200,,,,,
1082,16076200,,,,,
1083,16494900,,,,,
1084,16003400,,,,,
1085,16724900,,,,,
1086,16306800,,,,,
1087,17756100,,,,,
1088,16438300,,,,,
1089,16524800,,,,,
1090,16388900,,,,,
1091,15497800,,,,,
1092,15122700,,,,,
1093,15811900,,,,,
1094,14944000,,,,,
1095,14950300,,,,,
1096,14821800,,,,,
1097,15919100,,,,,
1098,15741000,,,,,
1099,16768500,,,,,
1100,16337400,,,,,
1101,17879100,,,,,
1102,17411900,,,,,
1103,17543200,,,,,
1104,16292000,,,,,
1105,16993200,,,,,
1106,16125600,,,,,
1107,16042300,,,,,
1108,15450100,,,,,
1109,15642400,,,,,
1110,15114900,,,,,
1111,16030900,,,,,
1112,16251200,,,,,
1113,17523100,,,,,
1114,17219600,,,,,
1115,17425100,,,,,
1116,16650900,,,,,
1117,16953300,,,,,
1118,16268700,,,,,
1119,17444900,,,,,
1120,16522700,,,,,
1121,16156700,,,,,
1122,15461300,,,,,
1123,15896500,,,,,
1124,15504900,,,,,
1125,16596900,,,,,
1126,16276400,,,,,
1127,17326300,,,,,
1128,17169900,,,,,
1129,17360300,,,,,
1130,17002100,,,,,
1131,17138300,,,,,
1132,17569800,,,,,
1133,17104200,,,,,
1134,15225600,,,,,
1135,15676600,,,,,
1136,15443400,,,,,
1137,15932400,,,,,
1138,16361700,,,,,
1139,16706700,,,,,
1140,16710200,,,,,
1141,17405700,,,,,
1142,16846700,,,,,
1143,16875700,,,,,
1144,16441000,,,,,
1145,17445700,,,,,
1146,16771800,,,,,
1147,16763300,,,,,
1148,16321000,,,,,
1149,16860600,,,,,
1150,16651400,,,,,
1151,16798800,,,,,
1152,16394000,,,,,
1153,17568200,,,,,
1154,17199800,,,,,
1155,17357400,,,,,
1156,16461100,,,,,
1157,16820200,,,,,
1158,17166300,,,,,
1159,16281800,,,,,
1160,15409100,,,,,
1161,15844800,,,,,
1162,15466400,,,,,
1163,16195000,,,,,
1164,16298700,,,,,
1165,16870600,,,,,
1166,16366300,,,,,
1167,17577100,,,,,
1168,16560800,,,,,
1169,16686100,,,,,
1170,15226100,,,,,
1171,16338400,,,,,
1172,15175300,,,,,
1173,15725000,,,,,
1174,15494200,,,,,
1175,16724400,,,,,
1176,16127200,,,,,
1177,16549500,,,,,
1178,15788300,,,,,
1179,17461100,,,,,
1180,15941900,,,,,
1181,15546000,,,,,
1182,14425300,,,,,
1183,14964600,,,,,
1184,15776500,,,,,
1185,17381500,,,,,
1186,16367500,,,,,
1187,16847800,,,,,
1188,16316200,,,,,
1189,16956400,,,,,
1190,16310200,,,,,
1191,17567900,,,,,
1192,15885000,,,,,
1193,16058400,,,,,
1194,15480300,,,,,
1195,16500100,,,,,
1196,17049800,,,,,
1197,17400100,,,,,
1198,15517700,,,,,
1199,15486600,,,,,
1200,15356300,,,,,
1201,15710600,,,,,
1202,15296900,,,,,
1203,16750800,,,,,
1204,17011800,,,,,
1205,17346700,,,,,
1206,15599600,,,,,
1207,15717200,,,,,
1208,15152700,,,,,
1209,16067100,,,,,
1210,17948700,,,,,
1211,16655000,,,,,
1212,15094600,,,,,
1213,15879600,,,,,
1214,15415600,,,,,
1215,16137800,,,,,
1216,15498900,,,,,
1217,15842100,,,,,
1218,16041500,,,,,
1219,16817800,,,,,
1220,15410200,,,,,
1221,15888600,,,,,
1222,15149500,,,,,
1223,15876600,,,,,
1224,15715300,,,,,
1225,16188100,,,,,
1226,16312200,,,,,
1227,16932800,,,,,
1228,16635200,,,,,
1229,16831800,,,,,
1230,16509300,,,,,
1231,16498600,,,,,
1232,15417800,,,,,
1233,15626100,,,,,
1234,15530200,,,,,
1235,16980100,,,,,
